Date,Open,High,Low,Close,Adj_Close,Volume
23-01-2001,4.484375,4.5,4.296875,4.4375,4.4375,987600
24-01-2001,4.4375,4.5,4.390625,4.5,4.5,1004800
25-01-2001,4.46875,4.59375,4.4375,4.46875,4.46875,264400
26-01-2001,4.484375,4.5,4.34375,4.34375,4.34375,400000
29-01-2001,4.3425,4.57,4.3,4.5675,4.5675,462400
30-01-2001,4.5375,4.625,4.5025,4.6,4.6,477200
31-01-2001,4.5975,4.65,4.55,4.5625,4.5625,940400
1/2/2001,4.5375,4.65,4.5325,4.6125,4.6125,816000
2/2/2001,4.575,4.625,4.4875,4.625,4.625,723200
5/2/2001,4.6,4.6,4.4825,4.485,4.485,527200
6/2/2001,4.5,4.5,4.285,4.3175,4.3175,557200
7/2/2001,4.5,4.8,4.5,4.625,4.625,1782800
8/2/2001,4.65,4.8125,4.65,4.735,4.735,404800
9/2/2001,4.8125,4.925,4.7925,4.8625,4.8625,1292800
12/2/2001,4.875,5.42,4.875,5.375,5.375,1359600
13-02-2001,5.25,5.3625,5,5.035,5.035,690000
14-02-2001,5.0125,5.0875,5,5.05,5.05,348000
15-02-2001,5.025,5.25,5.0025,5.25,5.25,534000
16-02-2001,5.225,5.225,5.0125,5.1575,5.1575,483600
20-02-2001,5.1575,5.25,5.125,5.19,5.19,389200
21-02-2001,5.165,5.2175,5.13,5.2,5.2,311600
22-02-2001,5.15,5.35,5.11,5.32,5.32,716800
23-02-2001,5.315,5.315,5,5.15,5.15,446800
26-02-2001,5.15,5.25,5.1175,5.25,5.25,469200
27-02-2001,5.2375,5.6875,5.1325,5.4375,5.4375,730000
28-02-2001,5.5,5.5,5.225,5.2375,5.2375,447200
1/3/2001,5.275,5.3625,5.25,5.3075,5.3075,697200
2/3/2001,5.3075,5.325,5,5.0625,5.0625,742800
5/3/2001,5.075,5.1,4.9625,4.995,4.995,477200
6/3/2001,4.995,5.0575,4.9875,4.995,4.995,1457600
7/3/2001,4.9375,4.96,4.725,4.775,4.775,1751200
8/3/2001,4.8,4.92,4.8,4.8375,4.8375,538400
9/3/2001,4.8625,4.9,4.7575,4.785,4.785,511200
12/3/2001,4.775,4.825,4.7625,4.7875,4.7875,481200
13-03-2001,4.7875,4.9625,4.755,4.9625,4.9625,502800
14-03-2001,4.9,5,4.825,4.965,4.965,745600
15-03-2001,4.99,4.99,4.88,4.88,4.88,827200
16-03-2001,4.875,4.8775,4.8375,4.85,4.85,885200
19-03-2001,4.85,4.85,4.75,4.8,4.8,328000
20-03-2001,4.8,4.825,4.66,4.66,4.66,1427200
21-03-2001,4.625,4.6475,4.5875,4.62,4.62,706000
22-03-2001,4.6,4.6,4.35,4.5,4.5,1355600
23-03-2001,4.475,4.55,4.425,4.45,4.45,706400
26-03-2001,4.45,4.55,4.45,4.475,4.475,410800
27-03-2001,4.5,4.6375,4.4875,4.6175,4.6175,1566000
28-03-2001,4.6075,4.6075,4.465,4.485,4.485,975600
29-03-2001,4.5125,4.9875,4.5,4.8775,4.8775,622400
30-03-2001,4.8625,4.9875,4.775,4.9,4.9,939200
2/4/2001,4.85,4.9875,4.8425,4.8525,4.8525,658400
3/4/2001,4.825,4.83,4.6,4.6,4.6,879200
4/4/2001,4.65,4.7125,4.5925,4.7125,4.7125,798000
5/4/2001,4.7,4.8925,4.6775,4.775,4.775,3368400
6/4/2001,4.775,4.95,4.7625,4.875,4.875,2316000
9/4/2001,4.85,4.975,4.785,4.8375,4.8375,800400
10/4/2001,4.775,4.8875,4.725,4.7825,4.7825,582800
11/4/2001,4.9,4.9,4.45,4.6025,4.6025,767600
12/4/2001,4.5625,4.63,4.5325,4.62,4.62,628400
16-04-2001,4.65,4.7075,4.5575,4.6625,4.6625,646400
17-04-2001,4.665,4.815,4.65,4.775,4.775,582800
18-04-2001,4.75,4.88,4.6875,4.75,4.75,1514000
19-04-2001,4.7375,5.255,4.7375,5,5,2932000
20-04-2001,4.9375,5,4.9125,4.995,4.995,1032400
23-04-2001,5.0275,5.0275,4.9875,5,5,633200
24-04-2001,5,5.0125,4.95,4.9875,4.9875,738000
25-04-2001,5,5,4.9125,4.94,4.94,591600
26-04-2001,4.9875,5.05,4.9075,4.91,4.91,602000
27-04-2001,5,5.525,5,5.525,5.525,1667600
30-04-2001,5.5125,5.8,5.35,5.4125,5.4125,2452000
1/5/2001,5.475,5.6,5.475,5.6,5.6,1768400
2/5/2001,5.5975,5.5975,5.505,5.525,5.525,730000
3/5/2001,5.555,5.6275,5.52,5.5475,5.5475,680800
4/5/2001,5.5475,5.7625,5.5125,5.7625,5.7625,749600
7/5/2001,5.7625,5.925,5.615,5.615,5.615,1848000
8/5/2001,5.6525,5.75,5.65,5.6975,5.6975,1064400
9/5/2001,5.6975,5.6975,5.59,5.6275,5.6275,659600
10/5/2001,5.6375,5.65,5.6,5.6225,5.6225,2102000
11/5/2001,5.6225,5.6875,5.515,5.575,5.575,2115200
14-05-2001,5.6,5.775,5.6,5.7425,5.7425,2647600
15-05-2001,5.75,5.9,5.7375,5.8375,5.8375,631600
16-05-2001,5.8125,5.94,5.8025,5.94,5.94,1790000
17-05-2001,5.925,6,5.9,6,6,1220800
18-05-2001,5.9375,5.9875,5.875,5.955,5.955,351200
21-05-2001,5.9575,6.1,5.9,6,6,1394000
22-05-2001,6,6.0275,5.7625,5.7625,5.7625,904400
23-05-2001,5.75,5.96,5.5025,5.8825,5.8825,671200
24-05-2001,5.8575,5.9125,5.7125,5.75,5.75,507600
25-05-2001,5.8,5.8,5.5375,5.645,5.645,882000
29-05-2001,5.645,5.675,5.525,5.595,5.595,1047200
30-05-2001,5.6,5.825,5.5,5.5,5.5,684800
